So'z                 | Chastota (marta)
falsafa              | 89        
yerdan               | 89        
savolga              | 89        
guliston             | 89        
individual           | 89        
birining             | 89        
viloyatda            | 89        
qimmat               | 89        
uzbekistan           | 89        
vazifalari           | 89        
kamroq               | 89        
konstitutsiyasi      | 89        
yubordi              | 89        
hokim                | 89        
konstitutsiyada      | 89        
erishdi              | 89        
yetkazilgan          | 89        
qismiga              | 89        
quvvati              | 89        
chiqaradi            | 89        
belgisi              | 89        
aktrisa              | 89        
xonanda              | 88        
monitoring           | 88        
beramiz              | 88        
vazirligiga          | 88        
nomzodlar            | 88        
abituriyentlarning   | 88        
toshkentga           | 88        
tanlagan             | 88        
qarashli             | 88        
yo'llari             | 88        
yetarlicha           | 88        
kamchiliklar         | 88        
ro'yxatidan          | 88        
bajaradi             | 88        
salomatligi          | 88        
aybdor               | 88        
bosish               | 88        
yashirin             | 88        
elchixonasi          | 88        
poytaxti             | 88        
erishilgan           | 88        
logistika            | 88        
futbolchining        | 88        
xitoyga              | 88        
deputat              | 87        
ta'limda             | 87        
viloyatlar           | 87        
deganda              | 87        
bo'lsin              | 87        
qat'i                | 87        
osiyoda              | 87        
qurib                | 87        
usulda               | 87        
qonunni              | 87        
agentligining        | 87        
yangiliklar          | 87        
to'qimachilik        | 87        
tizimda              | 87        
qildik               | 87        
toshkentdagi         | 87        
kino                 | 87        
yevropada            | 87        
musobaqa             | 87        
mavzusidagi          | 87        
daraxt               | 87        
yig'ilish            | 87        
turnir               | 87        
talon                | 87        
tubdan               | 87        
qaytib               | 87        
ishlatish            | 87        
xususida             | 87        
ot                   | 87        
korxonasi            | 87        
iste'molchilar       | 87        
windows              | 87        
ukrainalik           | 87        
tajribasi            | 86        
rozi                 | 86        
muddatidan           | 86        
nomiga               | 86        
o'sib                | 86        
shaxmat              | 86        
isloh                | 86        
yurtimiz             | 86        
tasdiqlovchi         | 86        
iyuldan              | 86        
menimcha             | 86        
yashab               | 86        
rta                  | 86        
intervyu             | 86        
ko'payib             | 86        
e'tiborga            | 86        
o'g'il               | 86        
abu                  | 86        
dekabrdan            | 86        
maqsadda             | 86        
bandi                | 86        
qarshilik            | 86        
faollari             | 86        
la                   | 86        
hayotga              | 86        
dasturlarni          | 86        
manfaatlarini        | 86        
mamlakatga           | 86        
qazib                | 86        
iloji                | 85        
yechim               | 85        
berayotgan           | 85        
yangilik             | 85        
universitetda        | 85        
edim                 | 85        
bankning             | 85        
ochilgan             | 85        
sayohat              | 85        
egalladi             | 85        
tushirish            | 85        
ma'lumotlarini       | 85        
saytlarini           | 85        
tanishdi             | 85        
talablari            | 85        
voqealar             | 85        
tiv                  | 85        
kishini              | 85        
vatan                | 85        
tartibida            | 85        
toshqulov            | 85        
shartnomalar         | 85        
xat                  | 85        
o'tkazishga          | 85        
daryo                | 85        
power                | 85        
sabablari            | 85        
chempionatida        | 85        
fermerlar            | 85        
funksional           | 85        
tasvir               | 85        
lavozimida           | 84        
qo'shilgan           | 84        
reytingi             | 84        
oldidan              | 84        
bo'lsada             | 84        
qilishdan            | 84        
xorijda              | 84        
id                   | 84        
moddasiga            | 84        
byudjeti             | 84        
bo'lishga            | 84        
ehtiyoj              | 84        
mandat               | 84        
parij                | 84        
chempioni            | 84        
aloqador             | 84        
darajaga             | 84        
sudga                | 84        
zudlik               | 84        
pekin                | 84        
oqilona              | 84        
qonunda              | 84        
turkiyaning          | 84        
tiklanuvchi          | 84        
ishlatiladi          | 84        
qo'shinlari          | 84        
yadroviy             | 84        
multimedia           | 84        
adabiyoti            | 83        
berilmoqda           | 83        
pensiya              | 83        
jamoasiga            | 83        
tanishib             | 83        
lar                  | 83        
o'zlashtirish        | 83        
so'mgacha            | 83        
quyidagilarni        | 83        
baland               | 83        
garchi               | 83        
yurgan               | 83        
aksincha             | 83        
yo'llar              | 83        
aqshda               | 83        
hududdagi            | 83        
organlariga          | 83        
apreldan             | 83        
daqiqada             | 83        
jihati               | 83        
yakka                | 83        
bo'lgandi            | 83        
oralig'ida           | 83        
banklar              | 83        
uchrashuvi           | 83        
bolaning             | 83        
maslahatchisi        | 83        
web                  | 83        
manbalari            | 83        
uchrashuvlar         | 83        
ajralib              | 83        
insoniyat            | 83        
keltiradi            | 83        
omillar              | 83        
munosabatlarini      | 83        
phd                  | 82        
boshiga              | 82        
shahriga             | 82        
jamoalari            | 82        
samarqandda          | 82        
axborotning          | 82        
tillar               | 82        
almashtirish         | 82        
qamoqqa              | 82        
aytilmoqda           | 82        
mirziyoyevning       | 82        
tasdiqlash           | 82        
de                   | 82        
manfaatdor           | 82        
konsert              | 82        
ishlaydigan          | 82        
ulgurji              | 82        
mamlakatdagi         | 82        
tashish              | 82        
barobarga            | 82        
marosimida           | 82        
transfer             | 82        
to'xtalib            | 82        
egalari              | 82        
xodimlarning         | 82        
bayon                | 82        
isitish              | 82        
niyatida             | 82        
da'vo                | 82        
chiqariladi          | 82        
vaksina              | 82        
asrning              | 82        
qaratildi            | 82        
raketa               | 82        
ukrainani            | 82        
microsoft            | 82        
kompyuterning        | 82        
qaysidir             | 81        
ehtimoli             | 81        
tayanch              | 81        
berilgandi           | 81        
tarmog'ida           | 81        
o'rmon               | 81        
tashkilotlarida      | 81        
qishga               | 81        
armaniston           | 81        
olimpiya             | 81        
yorqin               | 81        
pasport              | 81        
tushishi             | 81        
dasturini            | 81        
oshadi               | 81        
oyining              | 81        
yoshdan              | 81        
seminar              | 81        
o'rtog'i             | 81        
ku                   | 81        
to'plami             | 81        
nazariy              | 81        
tizimga              | 81        
etgani               | 81        
aloqasi              | 81        
misr                 | 81        
tushuncha            | 81        
fuqarosi             | 81        
nomini               | 81        
yozdi                | 81        
investorlar          | 81        
hisoblaydi           | 81        
inter                | 81        
yilligi              | 80        
germaniyada          | 80        
hurmatli             | 80        
joylar               | 80        
dasturining          | 80        
natijalarga          | 80        
bo'limiga            | 80        
zo'ravonlik          | 80        
haqli                | 80        
kitoblar             | 80        
so'ngra              | 80        
trln                 | 80        
sankt                | 80        
markazining          | 80        
markaziga            | 80        
uyiga                | 80        
asossiz              | 80        
ezgu                 | 80        
chek                 | 80        
rahbarlik            | 80        
qizning              | 80        
o'chirish            | 80        
ro'yxatini           | 80        
yashagan             | 80        
hokimiyati           | 80        
chilonzor            | 80        
hayotini             | 80        
kvt                  | 80        
roli                 | 80        
norozilik            | 80        
bakalavr             | 79        
asoschisi            | 79        
oydan                | 79        
holatni              | 79        
of                   | 79        
do'stlik             | 79        
yotoqxona            | 79        
arxiv                | 79        
omad                 | 79        
negizida             | 79        
bo'lishni            | 79        
shikoyat             | 79        
fransuz              | 79        
ishlariga            | 79        
sharoitda            | 79        
anjumanida           | 79        
tanlangan            | 79        
yaxshiroq            | 79        
diqqat               | 79        
transporti           | 79        
mehmonlar            | 79        
to'lovni             | 79        
maydon               | 79        
orzu                 | 79        
o'zlarini            | 79        
oilaning             | 79        
yig'ilishi           | 79        
kimyoviy             | 79        
prezidentlikka       | 79        
pullarni             | 79        
hayotida             | 79        
ekspertiza           | 79        
to'rtta              | 79        
shtatlar             | 79        
assotsiatsiyasi      | 79        
dekabrda             | 79        
boks                 | 79        
vagner               | 79        
majlisi              | 78        
miqdoridagi          | 78        
oz                   | 78        
intellekt            | 78        
vositalarining       | 78        
bot                  | 78        
parametrlari         | 78        
oshirgan             | 78        
bozorda              | 78        
sanitariya           | 78        
jarayonda            | 78        
harakatini           | 78        
ehtiyojmand          | 78        
bo'lardi             | 78        
tomonga              | 78        
millat               | 78        
iiv                  | 78        
chiqdik              | 78        
ko'mak               | 78        
pora                 | 78        
ma'rifat             | 78        
emasligini           | 78        
ketib                | 78        
olim                 | 78        
odamlarni            | 78        
ko'chib              | 78        
kelingan             | 78        
kishiga              | 78        
oshkor               | 78        
kuchlar              | 78        
qoidalarini          | 78        
muammolarini         | 78        
tahliliy             | 78        
kemasi               | 78        
bermaydi             | 77        
qilishingiz          | 77        
tajribali            | 77        
xizmatini            | 77        
bo'linadi            | 77        
ayollarning          | 77        
holatlarda           | 77        
ataladi              | 77        
kelasi               | 77        
esdalik              | 77        
tilga                | 77        
joiz                 | 77        
taalluqli            | 77        
server               | 77        
federal              | 77        
yuzlab               | 77        
bo'lyapti            | 77        
tezligi              | 77        
uyning               | 77        
biologik             | 77        
davra                | 77        
o'ynagan             | 77        
bahs                 | 77        
tolibon              | 77        
ba'zan               | 77        
raisining            | 77        
aij                  | 77        
platforma            | 76        
kuchi                | 76        
ko'rsatkichi         | 76        
guruhga              | 76        
ielts                | 76        
qoidalari            | 76        
fanidan              | 76        
kelajak              | 76        
yozma                | 76        
avtomatlashtirish    | 76        
mdh                  | 76        
sinovida             | 76        
qilinmagan           | 76        
guvoh                | 76        
vaqtdan              | 76        
filialiga            | 76        
loyihani             | 76        
mas'ullar            | 76        
musiqa               | 76        
hujjatda             | 76        
miqyosida            | 76        
o'zgartish           | 76        
qochib               | 76        
organlar             | 76        
uyida                | 76        
to'rtinchi           | 76        
masofadan            | 76        
ko'tarildi           | 76        
so'zlar              | 76        
aylanadi             | 76        
farqli               | 76        
xususiyatlari        | 76        
xalqning             | 76        
dmitriy              | 76        
eksporti             | 76        
bavariya             | 76        
qatnashish           | 75        
istagini             | 75        
ra                   | 75        
bali                 | 75        
qulaylik             | 75        
shakllari            | 75        
hukumatning          | 75        
jarayonlarni         | 75        
institutining        | 75        
aniqlanadi           | 75        
sharipov             | 75        
joyidan              | 75        
naqd                 | 75        
yoshda               | 75        
er                   | 75        
tugmasini            | 75        
ixtisoslashgan       | 75        
aytildi              | 75        
nafas                | 75        
mirzo                | 75        
paytlarda            | 75        
kiritilishi          | 75        
sektor               | 75        
shaxslarni           | 75        
ishtiroki            | 75        
muqobil              | 75        
o'yinlar             | 75        
atrofidagi           | 75        
so'zi                | 75        
davriga              | 75        
ta'minlashda         | 75        
tog'                 | 75        
rangli               | 75        
afrika               | 75        
qarama               | 75        
liga                 | 75        
qurilma              | 75        
qiziq                | 74        
qizg'in              | 74        
haftada              | 74        
etilmagan            | 74        
o'tildi              | 74        
qatnashgan           | 74        
loyihasining         | 74        
bosqichiga           | 74        
hukmi                | 74        
ostidagi             | 74        
ruxsatnoma           | 74        
xullas               | 74        
topshirilgan         | 74        
asbob                | 74        
boshlash             | 74        
kishilar             | 74        
buyurtma             | 74        
daftari              | 74        
turlicha             | 74        
uylar                | 74        
manba                | 74        
hamkorlikning        | 74        
kommunikatsiya       | 74        
o'zbekistonni        | 74        
ko'chasi             | 74        
mfy                  | 74        
so'zlarini           | 74        
yangilangan          | 74        
referendumda         | 74        
xorijlik             | 74        
ishtirokini          | 74        
rivojlanishiga       | 74        
sergey               | 74        
xx                   | 74        
kompyuterga          | 74        
chorshanba           | 73        
juma                 | 73        
o'qigan              | 73        
otmlarga             | 73        
ma'lumotni           | 73        
to'laydi             | 73        
kirishni             | 73        
yakunlari            | 73        
hududga              | 73        
nizom                | 73        
hamkorligida         | 73        
manfaatli            | 73        
kelmaydi             | 73        
vaziyatga            | 73        
rustam               | 73        
huzurida             | 73        
qonuni               | 73        
ketmoqda             | 73        
hattoki              | 73        
uchragan             | 73        
tuzilishi            | 73        
mamlakatni           | 73        
taxmin               | 73        
korxonaning          | 73        
york                 | 73        
keltirish            | 73        
vayron               | 73        
politsiya            | 73        
g'arbiy              | 73        
aqlli                | 72        
to'lanadi            | 72        
urgan                | 72        
tahlili              | 72        
ishlashni            | 72        
tamomlagan           | 72        
ko'rinishda          | 72        
videoda              | 72        
xodimlariga          | 72        
surishtiruv          | 72        
jarayoniga           | 72        
jihozlangan          | 72        
tarmoqlarida         | 72        
matnli               | 72        
ochiladi             | 72        
qoida                | 72        
chorvachilik         | 72        
vositalarni          | 72        
ichidagi             | 72        
rasm                 | 72        
integratsiya         | 72        
maydan               | 72        
nimalar              | 72        
kapital              | 72        
asta                 | 72        
raqobatni            | 72        
ko'rinadi            | 72        
qidirish             | 72        
yashaydi             | 72        
issiqxona            | 72        
yaratilishi          | 72        
resurslar            | 72        
o'ynaydi             | 72        
qoidalar             | 72        
standart             | 72        
kuchlarining         | 72        
kiyevga              | 72        
mb                   | 72        
deputatlar           | 71        
maosh                | 71        
o'qituvchisi         | 71        
qabuli               | 71        
topshirib            | 71        
yashaydigan          | 71        
bosim                | 71        
foizgacha            | 71        
sabablarga           | 71        
yo'nalishlarida      | 71        
ali                  | 71        
yakunlandi           | 71        
manbalar             | 71        
organlarining        | 71        
ma'lumotiga          | 71        
biridir              | 71        
madaniyati           | 71        
ramazon              | 71        
maqsadlar            | 71        
media                | 71        
sir                  | 71        
kompaniyaning        | 71        
avtomobillar         | 71        
haydovchi            | 71        
kesib                | 71        
london               | 71        
suvni                | 71        
tashlash             | 71        
din                  | 71        
konstitutsiyaga      | 71        
oldinga              | 71        
sarmoya              | 71        
nyu                  | 71        
dehqon               | 71        
yevroga              | 71        
empirik              | 71        
agrar                | 70        
talabi               | 70        
birorta              | 70        
delegatsiya          | 70        
kelajagi             | 70        
yashayotgan          | 70        
bo'lishdi            | 70        
metro                | 70        
darajali             | 70        
tarixida             | 70        
yo'nalishiga         | 70        
rasmiylashtirish     | 70        
qo'qon               | 70        
ketayotgan           | 70        
fakulteti            | 70        
turdosh              | 70        
shoir                | 70        
topshirdi            | 70        
fuqarolarni          | 70        
so'rov               | 70        
farzand              | 70        
saidov               | 70        
chiqargan            | 70        
maktablari           | 70        
bolalarning          | 70        
joylashtirilgan      | 70        
o'tkir               | 70        
ko'rsatkichlari      | 70        
kodeksning           | 70        
tezlikda             | 70        
ibrohim              | 70        
muammoni             | 70        
apparat              | 70        
ittifoqining         | 70        
qimmatli             | 70        
jamiyatdagi          | 70        
etishicha            | 70        
fonida               | 70        
qurilmalar           | 70        
ekranda              | 70        
sanoatni             | 70        
turkiston            | 70        
gruziya              | 70        
yei                  | 70        
maqolalar            | 69        
etilmaydi            | 69        
davlatlarning        | 69        
maktabga             | 69        
ma'lumotga           | 69        
javoban              | 69        
kech                 | 69        
ishlayotgan          | 69        
o'tmoqda             | 69        
himoyaga             | 69        
yunusobod            | 69        
tashabbus            | 69        
kreditlar            | 69        
denov                | 69        
ismli                | 69        
qo'shish             | 69        
byurosi              | 69        
me'yoriy             | 69        
topadi               | 69        
virus                | 69        
yillarga             | 69        
turlarini            | 69        
haqiqatan            | 69        
ibn                  | 69        
bobur                | 69        
ko'rishni            | 69        
senatorlar           | 69        
bildiradi            | 69        
saylovchilar         | 69        
tarmoqda             | 69        
majlisda             | 69        
erkinligi            | 69        
go'zal               | 69        
deputati             | 69        
hayotiy              | 69        
braziliya            | 69        
suriya               | 69        
tumanlararo          | 69        
bajariladi           | 69        
and                  | 68        
sovg'a               | 68        
palatasining         | 68        
fikri                | 68        
kirdi                | 68        
uyga                 | 68        
soatdan              | 68        
bolani               | 68        
safiga               | 68        
tushuniladi          | 68        
pulini               | 68        
ma'rifiy             | 68        
kunida               | 68        
jinoyatni            | 68        
kiyim                | 68        
delegatsiyasi        | 68        
beshinchi            | 68        
gaplar               | 68        
faxriy               | 68        
g'olibi              | 68        
mavzu                | 68        
aloqalari            | 68        
qilmoqchi            | 68        
mumkinmi             | 68        
soxta                | 68        
yo'nalishini         | 68        
yu                   | 68        
undagi               | 68        
fikrlar              | 68        
berishini            | 68        
meros                | 68        
departament          | 68        
oilada               | 68        
taqdiri              | 68        
foydalanishi         | 68        
xabarga              | 68        
obodonlashtirish     | 68        
qadimiy              | 68        
amir                 | 68        
isroilning           | 68        
chorasi              | 68        
qo'pol               | 68        
zararli              | 68        
ketgani              | 68        
oshirishni           | 68        
hujjatlariga         | 68        
kishining            | 68        
xonadon              | 68        
ko'magida            | 68        
institutlar          | 68        
ko'rsatkichlar       | 68        
xayriya              | 68        
jamoaga              | 68        
covid                | 68        
qildim               | 68        
subsidiya            | 68        
soluvchi             | 68        
biladi               | 68        
banklari             | 68        
harbiylar            | 68        
strategiyasi         | 68        
xizmatiga            | 68        
o'zgarishlarni       | 68        
usul                 | 68        
mojaro               | 68        
keltirgan            | 68        
chiqaruvchilar       | 68        
o'limi               | 68        
foydasiga            | 68        
rossiyadan           | 68        
muhiti               | 68        
geosiyosiy           | 68        
rafiqasi             | 68        
senati               | 68        
sug'orish            | 68        
diabet               | 68        
bandligini           | 67        
tabiiyki             | 67        
uzaytirildi          | 67        
imtihonlarida        | 67        
sohalari             | 67        
excel                | 67        
qiziqtirgan          | 67        
biridan              | 67        
qoldirgan            | 67        
javoblar             | 67        
olgani               | 67        
samolyot             | 67        
tanish               | 67        
ko'ramiz             | 67        
qay                  | 67        
aloqalarini          | 67        
rf                   | 67        
go'yoki              | 67        
ko'rinishi           | 67        
muvofiqlashtirish    | 67        
savdosi              | 67        
ko'krak              | 67        
buzish               | 67        
ko'rsatishi          | 67        
bajaruvchi           | 67        
joylarida            | 67        
nomidan              | 67        
o'tishga             | 67        
etishini             | 67        
vakolatli            | 67        
muxlislar            | 67        
tozalash             | 67        
bajarilishi          | 67        
golli                | 67        
baa                  | 67        
loyihalash           | 67        
axborotlarga         | 67        
qishda               | 66        
miqdordagi           | 66        
topshiriqlar         | 66        
to'lovlarni          | 66        
mavzusida            | 66        
bhmning              | 66        
tanishish            | 66        
oyga                 | 66        
musulmon             | 66        
yozgi                | 66        
hamon                | 66        
ma'ruza              | 66        
berishda             | 66        
qatorida             | 66        
hisoblab             | 66        
narxlar              | 66        
pandemiya            | 66        
san'ati              | 66        
mukammal             | 66        
sinovdan             | 66        
nomlangan            | 66        
hisobda              | 66        
korrupsiya           | 66        
avtotransport        | 66        
obyektlar            | 66        
yanvarga             | 66        
dengizi              | 66        
tamoyili             | 66        
manbaga              | 66        
makon                | 66        
zero                 | 66        
olamiz               | 66        
joniga               | 66        
mehr                 | 66        
topilib              | 66        
temiryo'l            | 66        
dorilar              | 66        
rasmiylari           | 66        
chiqishni            | 66        
qo'shgan             | 66        
odamlarga            | 66        
yillarida            | 66        
e'tiborini           | 66        
zamin                | 66        
pullarini            | 65        
tortish              | 65        
bunaqa               | 65        
yuborildi            | 65        
amaliyotga           | 65        
zamon                | 65        
diqqatiga            | 65        
ai                   | 65        
lon                  | 65        
abituriyentlarni     | 65        
xabarni              | 65        
sportchi             | 65        
kuzatilgan           | 65        
resurslarini         | 65        
muammolarga          | 65        
aytiladi             | 65        
oldinroq             | 65        
bo'limlari           | 65        
telekanali           | 65        
zulfiya              | 65        
humo                 | 65        
topshiriq            | 65        
cheklash             | 65        
temur                | 65        
loyihasida           | 65        
xursand              | 65        
shiori               | 65        
sharq                | 65        
berishdi             | 65        
tavsiyalar           | 65        
murabbiylar          | 65        
ko'cha               | 65        
ko'chasida           | 65        
turkiyada            | 65        
o'tilgan             | 65        
chang                | 65        
ostiga               | 65        
qurilmalari          | 65        
shubha               | 65        
tezda                | 65        
yerdagi              | 65        
qo'mita              | 65        
protsessual          | 65        
hujjatni             | 65        
qrim                 | 65        
asoslari             | 65        
asosda               | 65        
sakkiz               | 65        
qodir                | 65        
bildirildi           | 65        
diversifikatsiya     | 65        
nazardan             | 65        
premyer              | 65        
tushunchasi          | 65        
google               | 64        
olmoqda              | 64        
farmon               | 64        
qonunchilikka        | 64        
xarajat              | 64        
ma'qul               | 64        
tanlanadi            | 64        
bosiladi             | 64        
imkoniyatlarni       | 64        
chiqilib             | 64        
yo'nalishdagi        | 64        
kashf                | 64        
tahrirlash           | 64        
veterinariya         | 64        
berilishini          | 64        
musobaqada           | 64        
tumandagi            | 64        
o'tmay               | 64        
tup                  | 64        
qatori               | 64        
sen                  | 64        
aylanishi            | 64        
tasdiqladi           | 64        
qo'llaniladigan      | 64        
hujjatlarning        | 64        
vashington           | 64        
novosti              | 64        
istiqbolli           | 64        
davlatlarga          | 64        
hisobni              | 64        
nuqtayi              | 64        
kengashning          | 64        
mintaqa              | 64        
boshlanganidan       | 64        
reyting              | 63        
masalalariga         | 63        
rivojlanib           | 63        
baravari             | 63        
yuboradi             | 63        
sovg'alar            | 63        
talablarga           | 63        
imkoniyatni          | 63        
opa                  | 63        
ro'yxat              | 63        
seshanba             | 63        
kengaytirilgan       | 63        
oliygohi             | 63        
cheksiz              | 63        
mutaxassislarning    | 63        
ko'rinish            | 63        
muqaddas             | 63        
bandlik              | 63        
yo'nalishlarini      | 63        
o'qituvchilari       | 63        
chiqarishi           | 63        
atroflicha           | 63        
yaqinida             | 63        
ro'yobga             | 63        
jahongir             | 63        
gapirib              | 63        
xizmatlarni          | 63        
turidan              | 63        
samaradorligi        | 63        
qonunchilikda        | 63        
ikkinchisi           | 63        
o'zgartirib          | 63        
tutilmoqda           | 63        
yordamchisi          | 63        
xotira               | 63        
talqin               | 63        
mashg'ulotlar        | 63        
davlatlardan         | 63        
matnni               | 63        
jamiyatni            | 63        
qirq                 | 63        
madrid               | 63        
o'tkazilayotgan      | 62        
university           | 62        
hududidan            | 62        
damda                | 62        
topdi                | 62        
o'qishi              | 62        
borayotgani          | 62        
kursi                | 62        
ro                   | 62        
idora                | 62        
tartibiga            | 62        
mablag'larini        | 62        
qarorni              | 62        
kelish               | 62        
kanallari            | 62        
qolgani              | 62        
etilganlar           | 62        
qamrovli             | 62        
to'lovi              | 62        
yoshida              | 62        
kirishga             | 62        
suhbatda             | 62        
kungacha             | 62        
sohalar              | 62        
ovqatlanish          | 62        
pq                   | 62        
shakliga             | 62        
respublikada         | 62        
ushlandi             | 62        
ishlarga             | 62        
ovozi                | 62        
loyihasiga           | 62        
chexiya              | 62        
gumon                | 62        
toifasida            | 62        
yillardan            | 62        
vitse                | 62        
energiyasini         | 62        
infratuzilmasini     | 62        
tunda                | 62        
oilasi               | 62        
yonib                | 62        
foydalanuvchining    | 62        
uchib                | 62        
mayda                | 62        
hayotda              | 62        
davlati              | 62        
rejalari             | 62        
gazetasi             | 62        
narxining            | 62        
so'radi              | 62        
zarurligi            | 62        
ria                  | 62        
fondi                | 62        
iqtisodiyotda        | 62        
jamoaning            | 62        
mas'uliyati          | 62        
vosita               | 62        
chorak               | 61        
viloyatdagi          | 61        
olasiz               | 61        
tillarni             | 61        
fuqaroning           | 61        
olishda              | 61        
lib                  | 61        
guruhlarga           | 61        
hamkor               | 61        
moddalari            | 61        
o'tar                | 61        
taqiqlangan          | 61        
uyi                  | 61        
yaratishda           | 61        
stipendiyalar        | 61        
olaman               | 61        
ettiradi             | 61        
hayiti               | 61        
malakasini           | 61        
zarurligini          | 61        
buyurgan             | 61        
rekonstruksiya       | 61        
ayollarga            | 61        
qo'yilishi           | 61        
orasidagi            | 61        
jazoni               | 61        
mansub               | 61        
butunjahon           | 61        
nomzodini            | 61        
yangilash            | 61        
insonga              | 61        
etilgani             | 61        
mavsumida            | 61        
texnikasi            | 61        
infratuzilma         | 61        
masalasiga           | 61        
cheklovlar           | 61        
nazoratini           | 61        
telekommunikatsiya   | 61        
unchalik             | 61        
yog'adi              | 61        
siyosatchi           | 61        
mintaqada            | 61        
xo'jaliklari         | 61        
kabilar              | 61        
argentina            | 61        
blinken              | 61        
vositalaridan        | 60        
payt                 | 60        
dasturlarini         | 60        
gvardiya             | 60        
ko'rilgan            | 60        
kompensatsiya        | 60        
asosidagi            | 60        
istisno              | 60        
natijalarni          | 60        
chiqardi             | 60        
yakuni               | 60        
farovon              | 60        
uslubiy              | 60        
beshta               | 60        
belgilanishi         | 60        
profilaktik          | 60        
minnatdorlik         | 60        
tayyorligini         | 60        
peterburg            | 60        
aytgandi             | 60        
berilayotgan         | 60        
vaqtlarda            | 60        
ko'riladi            | 60        
befarq               | 60        
ayollarni            | 60        
oladilar             | 60        
xalqi                | 60        
o'simlik             | 60        
tarmog'ini           | 60        
chiqishda            | 60        
kuzatuv              | 60        
oldidagi             | 60        
qasd                 | 60        
yoqib                | 60        
foydalanadi          | 60        
tutuvchi             | 60        
umumxalq             | 60        
chiroyli             | 60        
o'rgatish            | 60        
o'laroq              | 60        
model                | 60        
yon                  | 60        
barqarorligini       | 60        
xomashyo             | 60        
moskvada             | 60        
erishildi            | 60        
mahsulotni           | 60        
bitim                | 60        
ekin                 | 60        
turida               | 60        
operatsiyalari       | 60        
messi                | 60        
amallar              | 60        
buzilishi            | 60        
artilleriya          | 60        
manfaatlari          | 60        
sherzod              | 59        
videoni              | 59        
mahorat              | 59        
kutilayotgan         | 59        
oshiriladigan        | 59        
sanasi               | 59        
kommunal             | 59        
rejalashtirilmoqda   | 59        
yo'qmi               | 59        
o'rinli              | 59        
toifadagi            | 59        
migratsiya           | 59        
eta                  | 59        
javoblari            | 59        
bo'lmaydigan         | 59        
atadi                | 59        
mazmuni              | 59        
profilaktika         | 59        
yetadi               | 59        
ko'maklashish        | 59        
orasidan             | 59        
bo'lmadi             | 59        
ko'rsatiladi         | 59        
buyruq               | 59        
materiallari         | 59        
jihatidan            | 59        
ko'zlangan           | 59        
avj                  | 59        
mablag'larni         | 59        
toroj                | 59        
hududlarni           | 59        
oshishiga            | 59        
yondashuv            | 59        
davlatlarida         | 59        
point                | 59        
turistik             | 59        
tayvan               | 59        
nom                  | 59        
mustahkamlashga      | 59        
maqomini             | 59        
munosabatlarning     | 59        
qobiliyati           | 59        
undirish             | 59        
o'sishning           | 59        
mijozlar             | 59        
navbahor             | 59        
okrug                | 59        
xo'jaligida          | 59        
chetlab              | 59        
adobe                | 59        
zo'r                 | 58        
tom                  | 58        
eslatma              | 58        
ustama               | 58        
arxitektura          | 58        
chi                  | 58        
turishi              | 58        
ro'yxatiga           | 58        
mahallada            | 58        
ishora               | 58        
solib                | 58        
olsa                 | 58        
muqaddam             | 58        
qolsa                | 58        
usullarini           | 58        
pulni                | 58        
turda                | 58        
kamchiliklarni       | 58        
tuzatish             | 58        
chin                 | 58        
tiliga               | 58        
bilimlar             | 58        
kuchayishi           | 58        
e'tiborli            | 58        
nutqida              | 58        
shular               | 58        
millionga            | 58        
kuzatildi            | 58        
kamayib              | 58        
saqlanadi            | 58        
tarif                | 58        
shaharlar            | 58        
yoqilg'i             | 58        
haqorat              | 58        
xaridlari            | 58        
pastga               | 58        
bin                  | 58        
berilmagan           | 58        
javobgar             | 58        
aylantirish          | 58        
vengriya             | 58        
axloq                | 58        
iio                  | 58        
hayotiga             | 58        
a'zolarining         | 58        
deyish               | 58        
urushga              | 58        
faolligini           | 58        
urg'u                | 58        
asosini              | 58        
orolbo'yi            | 58        
chempionatining      | 58        
erdo'g'an            | 58        
fayllar              | 58        
chery                | 58        
general              | 57        
otabek               | 57        
britaniyaning        | 57        
fandan               | 57        
talabalariga         | 57        
ta'limning           | 57        
muhimligini          | 57        
tadqiq               | 57        
ko'ring              | 57        
qoldirdi             | 57        
fuqaroga             | 57        
internetda           | 57        
unumli               | 57        
qiymatini            | 57        
o'zbekistonliklar    | 57        
ochildi              | 57        
apellatsiya          | 57        
qilinishini          | 57        
yapon                | 57        
ilova                | 57        
yo'lini              | 57        
davlatda             | 57        
axir                 | 57        
stavkasi             | 57        
taqdirlash           | 57        
hujjati              | 57        
shaxsni              | 57        
negadir              | 57        
iyundan              | 57        
world                | 57        
tarzida              | 57        
mashinasi            | 57        
sssr                 | 57        
ismi                 | 57        
kasalliklari         | 57        
rahbarlarining       | 57        
to'xtab              | 57        
anjumani             | 57        
